trial_number,receive_time,node,ts,px,py,yaw,temp
1,1778095708.0407162,1,21642,-0.011349,0.021955,0.021999,41.6
1,1778095708.090362,1,21687,-0.011873,0.022868,0.022412,41.6
1,1778095708.1865737,1,21787,-0.013086,0.024946,0.023527,41.6
1,1778095708.2363286,1,21837,-0.013706,0.026029,0.024072,41.6
1,1778095708.2905607,1,21887,-0.014205,0.026913,0.024474,41.6
1,1778095708.3371863,1,21937,-0.014972,0.028256,0.025099,41.6
1,1778095708.4000053,1,22000,-0.01577,0.029622,0.02573,41.6
1,1778095708.436447,1,22037,-0.016314,0.030547,0.025997,41.6
1,1778095708.5125835,1,22093,-0.017002,0.031731,0.026519,41.6
1,1778095708.53623,1,22137,-0.017694,0.032946,0.027118,41.6
1,1778095708.5870602,1,22187,-0.01833,0.034056,0.027562,41.6
1,1778095708.7364872,1,22337,-0.020512,0.037718,0.029071,41.6
1,1778095708.794589,1,22387,-0.021368,0.039164,0.029663,41.6
1,1778095708.942842,1,22543,-0.023984,0.043493,0.031258,41.6
1,1778095709.088929,1,22687,-0.026508,0.047608,0.032809,42.6
1,1778095709.1860273,1,22787,-0.028152,0.05026,0.03374,42.6
1,1778095709.23531,1,22837,-0.029275,0.052062,0.034427,42.6
1,1778095709.3023195,1,22904,-0.030518,0.054037,0.035154,42.6
1,1778095709.336952,1,22937,-0.031101,0.054955,0.035417,42.6
1,1778095709.3988307,1,22995,-0.032382,0.056962,0.03614,42.6
1,1778095709.4353004,1,23037,-0.033177,0.05822,0.036543,42.6
1,1778095709.4856696,1,23087,-0.034181,0.059812,0.037096,42.6
1,1778095709.5353813,1,23137,-0.035102,0.061253,0.037561,42.6
1,1778095709.5867164,1,23187,-0.036253,0.063032,0.038157,42.6
1,1778095709.6353693,1,23237,-0.037214,0.064508,0.038596,42.6
1,1778095709.6896877,1,23287,-0.038402,0.06634,0.039168,42.6
1,1778095709.7911184,1,23387,-0.040584,0.06973,0.040184,42.6
1,1778095709.8426642,1,23441,-0.041805,0.071619,0.040762,42.6
1,1778095709.886865,1,23487,-0.042813,0.073185,0.041245,42.6
1,1778095709.9370806,1,23537,-0.043944,0.074944,0.04177,42.6
1,1778095709.9853911,1,23587,-0.045072,0.076722,0.042272,42.6
1,1778095710.0368547,1,23637,-0.04622,0.078525,0.042839,42.6
1,1778095710.0919,1,23687,-0.047272,0.080164,0.043263,42.6
1,1778095710.1353161,1,23737,-0.048584,0.082191,0.043856,42.6
1,1778095710.2032895,1,23804,-0.05028,0.084814,0.044586,42.6
1,1778095710.2359786,1,23837,-0.051012,0.085952,0.044857,42.6
1,1778095710.2910714,1,23891,-0.052235,0.087867,0.04544,42.6
1,1778095710.3365755,1,23937,-0.05347,0.089801,0.045933,42.6
1,1778095710.3866014,1,23987,-0.054596,0.091555,0.046391,42.6
1,1778095710.4368064,1,24037,-0.05599,0.093718,0.04696,42.6
1,1778095710.4894028,1,24087,-0.057267,0.095701,0.047533,42.6
1,1778095710.53627,1,24137,-0.0583,0.097307,0.047934,42.6
1,1778095710.5894544,1,24187,-0.059872,0.099747,0.048575,42.6
1,1778095710.6551225,1,24255,-0.061741,0.102645,0.049435,43.6
1,1778095710.6946626,1,24287,-0.062554,0.103898,0.049736,42.6
1,1778095710.7392178,1,24342,-0.064065,0.106209,0.050312,42.6
1,1778095710.7870471,1,24387,-0.065314,0.108126,0.050831,42.6
1,1778095710.8353276,1,24437,-0.066573,0.110062,0.051281,42.6
1,1778095710.8863392,1,24487,-0.068118,0.112458,0.051877,42.6
1,1778095710.949553,1,24537,-0.069392,0.114435,0.052342,42.6
1,1778095710.9861066,1,24587,-0.070817,0.116639,0.05286,42.6
1,1778095711.0355737,1,24637,-0.072257,0.118857,0.053389,42.6
1,1778095711.1361103,1,24737,-0.075322,0.123557,0.054496,42.6
1,1778095711.1998556,1,24795,-0.077095,0.126283,0.055144,42.6
1,1778095711.285436,1,24887,-0.079796,0.130408,0.056134,42.6
1,1778095711.3410683,1,24937,-0.081324,0.132713,0.056582,42.6
1,1778095711.3870595,1,24987,-0.082868,0.135033,0.05715,42.6
1,1778095711.4363842,1,25037,-0.084112,0.136912,0.057559,42.6
1,1778095711.4857001,1,25087,-0.085825,0.139531,0.058196,42.6
1,1778095711.555404,1,25137,-0.086923,0.141218,0.058531,43.6
1,1778095711.5853405,1,25187,-0.08899,0.144374,0.059301,42.6
1,1778095711.6494458,1,25245,-0.0911,0.147547,0.059945,43.6
1,1778095711.6853807,1,25287,-0.092422,0.149512,0.06035,42.6
1,1778095711.7396915,1,25337,-0.094091,0.15199,0.060845,42.6
1,1778095711.7855306,1,25387,-0.095597,0.154247,0.061306,42.6
1,1778095711.8362706,1,25437,-0.097458,0.157034,0.061958,43.6
1,1778095711.8882656,1,25487,-0.098822,0.159082,0.062386,42.6
1,1778095711.9434614,1,25537,-0.10089,0.162178,0.063079,43.6
1,1778095712.0024512,1,25587,-0.102105,0.164,0.063388,43.6
1,1778095712.0363154,1,25637,-0.104365,0.167435,0.06408,43.6
1,1778095712.093937,1,25695,-0.106456,0.170669,0.064737,43.6
1,1778095712.1361728,1,25737,-0.107864,0.17284,0.065152,43.6
1,1778095712.1881394,1,25787,-0.10966,0.17553,0.065719,43.6
1,1778095712.2374182,1,25837,-0.11152,0.178173,0.066242,43.6
1,1778095712.2854373,1,25887,-0.113433,0.180779,0.066735,43.6
1,1778095712.388486,1,25987,-0.117349,0.185977,0.067859,43.6
1,1778095712.49148,1,26087,-0.121377,0.191227,0.068982,43.6
1,1778095712.5485177,1,26147,-0.123755,0.194553,0.069651,43.6
1,1778095712.5879939,1,26187,-0.125313,0.196873,0.07007,43.6
1,1778095712.6378696,1,26237,-0.127248,0.19983,0.07065,43.6
1,1778095712.7367353,1,26337,-0.131195,0.205701,0.071779,43.6
1,1778095712.786267,1,26387,-0.132838,0.20801,0.072173,43.6
1,1778095712.8366463,1,26437,-0.135329,0.211475,0.072797,43.6
1,1778095712.9195986,1,26487,-0.136574,0.213233,0.073088,43.6
1,1778095712.9369216,1,26537,-0.139471,0.217425,0.073732,43.6
1,1778095713.035786,1,26637,-0.14364,0.223549,0.074855,43.6
1,1778095713.0860124,1,26687,-0.14556,0.2263,0.07531,43.6
1,1778095713.1903076,1,26787,-0.150145,0.232726,0.076465,43.6
1,1778095713.2375956,1,26837,-0.151904,0.235202,0.07686,43.6
1,1778095713.29368,1,26887,-0.154324,0.238653,0.077394,43.6
1,1778095713.336364,1,26937,-0.155871,0.240877,0.077794,43.6
1,1778095713.3886218,1,26987,-0.158994,0.24536,0.078518,43.6
1,1778095713.4426582,1,27042,-0.161481,0.248886,0.079139,43.6
1,1778095713.486984,1,27087,-0.163535,0.251776,0.079568,43.6
1,1778095713.5367198,1,27137,-0.165835,0.255006,0.080117,43.6
1,1778095713.585386,1,27187,-0.168148,0.258267,0.080585,43.6
1,1778095713.6380014,1,27237,-0.170238,0.261233,0.081124,43.6
1,1778095713.686241,1,27287,-0.172572,0.264558,0.081574,43.6
1,1778095713.7405167,1,27337,-0.174927,0.267898,0.082066,43.6
1,1778095713.787162,1,27387,-0.17659,0.27024,0.082361,43.6
1,1778095713.8427248,1,27437,-0.179953,0.274935,0.083015,43.6
1,1778095714.0446994,1,27637,-0.189443,0.288319,0.085071,43.6
1,1778095714.0864437,1,27687,-0.192178,0.292166,0.085671,43.6
1,1778095714.235397,1,27837,-0.199043,0.301702,0.0871,44.6
1,1778095714.3503046,1,27946,-0.20554,0.310716,0.088609,43.6
1,1778095714.3882837,1,27987,-0.207634,0.313639,0.089032,44.6
1,1778095714.6361456,1,28237,-0.22092,0.332258,0.091845,44.6
1,1778095714.6862903,1,28287,-0.223076,0.335306,0.092244,44.6
1,1778095714.7352827,1,28337,-0.226339,0.3399,0.092903,44.6
1,1778095714.811443,1,28396,-0.229635,0.344519,0.093593,44.6
1,1778095714.8365583,1,28437,-0.231849,0.347622,0.094093,44.6
1,1778095714.8870082,1,28487,-0.234633,0.351528,0.094701,44.6
1,1778095714.9355404,1,28537,-0.237429,0.355472,0.095273,44.6
1,1778095714.9873486,1,28587,-0.24024,0.359448,0.095807,44.6
1,1778095715.0352702,1,28637,-0.242785,0.363045,0.096257,44.6
1,1778095715.0854552,1,28687,-0.245918,0.367444,0.096822,44.6
1,1778095715.1353076,1,28737,-0.247927,0.370253,0.097152,44.6
1,1778095715.1860824,1,28787,-0.251682,0.375509,0.097903,44.6
1,1778095715.2422285,1,28844,-0.254882,0.38001,0.098506,44.6
1,1778095715.286704,1,28887,-0.257511,0.383711,0.098956,44.6
1,1778095715.3355508,1,28937,-0.260456,0.387825,0.099502,44.6
1,1778095715.3868585,1,28987,-0.263429,0.391944,0.099964,44.6
1,1778095715.4361076,1,29037,-0.266423,0.396086,0.100492,44.6
1,1778095715.48938,1,29087,-0.268833,0.399425,0.100941,44.6
1,1778095715.5877037,1,29187,-0.274305,0.407001,0.10184,44.6
1,1778095715.6358418,1,29237,-0.278602,0.412948,0.102525,44.6
1,1778095715.6932714,1,29294,-0.282001,0.417648,0.103137,44.6
1,1778095715.7354565,1,29337,-0.284792,0.421525,0.103586,44.6
1,1778095715.7886932,1,29387,-0.287907,0.425881,0.104152,44.6
1,1778095715.8354924,1,29437,-0.291038,0.430264,0.104677,44.6
1,1778095715.8927548,1,29487,-0.294196,0.434658,0.105227,44.6
1,1778095715.9355211,1,29537,-0.296737,0.438174,0.105634,44.6
1,1778095715.987785,1,29587,-0.300256,0.44302,0.106266,44.6
1,1778095716.0353518,1,29637,-0.302505,0.446121,0.106559,44.6
1,1778095716.0857813,1,29687,-0.30703,0.452371,0.107318,44.6
1,1778095716.1524158,1,29744,-0.310604,0.457316,0.107915,44.6
